i,latencyope,time
1102,183.055003,0.238561
1103,185.010998,0.238751
1104,189.340994,0.238946
1105,183.124997,0.239134
1106,183.893004,0.239322
1107,187.525002,0.239515
1108,184.032993,0.239704
1109,187.105994,0.239895
1110,183.683995,0.240084
1111,185.010998,0.240273
1112,185.989004,0.240464
1113,205.684002,0.240674
1114,190.738006,0.240870
1115,182.566000,0.241058
1116,189.411003,0.241252
1117,189.619997,0.241447
1118,184.592005,0.241636
1119,184.801000,0.241825
1120,183.822995,0.242014
1121,188.432998,0.242207
1122,188.153994,0.242400
1123,185.500001,0.242590
1124,181.309006,0.242776
1125,184.801000,0.242966
1126,186.617006,0.243157
1127,183.124997,0.243345
1128,180.749994,0.243531
1129,185.080993,0.243721
1130,183.544005,0.243909
1131,182.635995,0.244096
1132,183.124997,0.244285
1133,182.147007,0.244472
1134,201.283998,0.244677
1135,181.658004,0.244864
1136,184.171993,0.245053
1137,181.588999,0.245239
1138,189.131999,0.245433
1139,185.010998,0.245622
1140,182.985998,0.245810
1141,184.592005,0.245999
1142,179.982002,0.246184
1143,186.477002,0.246374
1144,182.078002,0.246561
1145,181.448995,0.246748
1146,183.753000,0.246936
1147,186.197998,0.247127
1148,186.407997,0.247318
1149,185.219993,0.247508
